Question,Answer,
What are my lease-end options?,"Turn in your vehicle and purchase or lease a new Toyota.
Purchase the vehicle you're currently driving.
Return your vehicle to a Toyota or Lexus dealership.*"
How do I prepare for Lease-End?," Check out our [Lease-End Guide](/content/dam/nextgen-shared/lease-end/TFS-lease-end-guide.pdf) that provides details on considering your options, timing for an inspection, excessive wear and use, and finalizing your decision. "
What do I need to do to return my vehicle?," Our [Lease-End Guide](/content/dam/nextgen-shared/lease-end/TFS-lease-end-guide.pdf) provides an overview of the lease-end process, and checklists to help guide you through the before, during, and after your return. The vehicle must be returned to an authorized Toyota or Lexus Dealer. We recommend contacting your originating Dealer to schedule your turn-in appointment. Your originating Dealer is required to process the vehicle return. If you return the vehicle to a third-party dealership, this is an unauthorized third-party vehicle return and you remain responsible for all obligations under the lease agreement until we receive the payoff funds and all required documentation, or the vehicle is delivered to a Toyota or Lexus Dealer. Most Toyota and Lexus Dealers will process a vehicle return even if they did not originate the lease, but we recommend contacting them to confirm and schedule a turn-in appointment. Download checklist "
Where do I turn in my leased vehicle?,"The vehicle must be returned to an authorized Toyota or Lexus Dealer. If youve moved since you began your lease, use our easy dealer locator to find a participating dealer near you. We recommend contacting the dealer to schedule your lease turn-in appointment approximately 30 days prior to your lease maturity date.  Your originating Dealer is required to process the vehicle return. Most Toyota and Lexus Dealers, while not required, will process a return, even if they did not originate the lease, but we recommend contacting them to confirm and schedule a turn-in appointment."
Who is my originating dealer?, Your originating dealer is the dealer where you began your lease. This dealer can help you choose your next Toyota and turn in your current leased vehicle. 
What if I turn in my vehicle early?,"You may return your vehicle prior to your lease maturity date; however, early termination fees may apply. For more info about turning in your lease early, refer to your lease agreement, or contact TFS at 1-800-286-0652 . You may also reach out to your dealer to get answers to any questions you have about your options."
Can I return my leased vehicle to any dealer?," The vehicle must be returned to an authorized Toyota or Lexus Dealer. We recommend contacting your originating Dealer to schedule your turn-in appointment. Your originating Dealer is required to process the vehicle return. If you return the vehicle to a third-party dealership, this is an unauthorized third-party vehicle return and you remain responsible for all obligations under the lease agreement until we receive the payoff funds and all required documentation, or the vehicle is delivered to a Toyota or Lexus Dealer. Most Toyota and Lexus Dealers will process a vehicle return even if they did not originate the lease, but we recommend contacting them to confirm and schedule a turn-in appointment. "
Should I schedule an appointment to return my vehicle to my Toyota dealer?,"Yes, just give your dealer a call 30 days prior to your lease maturity date to schedule your lease turn-in appointment."
What should I bring to my turn-in appointment?,"Your TFS [Odometer Disclosure Statement](https://www.toyotafinancial.com/content/dam/nextgen-shared/lease-end/TF_odometer_statement_6197.pdf)
Tool kit and spare tire, if applicable
All sets of keys (masters/remotes/valet), if applicable
Owner's Manuals
Any original equipment on your vehicle at lease inception (radio, headrests, 3rd row seat, tonneau/cargo cover, etc.)"
Should I notify Toyota Financial Services after I have returned my leased vehicle?,"Yes, to minimize any potential delays processing your lease return, you can notify us of your return by logging on to Toyotafinancial.com or your Toyota Financial Services App and follow the Lease End return prompts. You can also notify us by telephone at (800) 874-8822 using our automated system or speaking with a live agent. Log in to my account"
